Тег	    Категория	                                    Примеры / Пояснение
IP	    Inflection Phrase (клауза / предложение)	    Вся предикативная единица.
I'	    Промежуточная проекция вершины I	            Содержит финитный глагол (или связку) и VP.
I	    Вершина I (финитный глагол / связка)	        будет, писал, есть (нулевая связка).
VP	    Verb Phrase (глагольная группа)	                Содержит глагол и его дополнения.
V'	    Промежуточная проекция глагола	                Глагол + комплементы / адъюнкты.
V	    Глагол	                                        писать, рисовать, стать.
NP	    Noun Phrase (именная группа)	                большой дом, диктант по русскому языку.
N'	    Промежуточная проекция существительного	        Существительное + комплементы / адъюнкты.
N	    Существительное	                                школьник, диктант, язык.
PP	    Prepositional Phrase (предложная группа)	    в саду, о погоде.
P	    Предлог	                                        в, на, по, от.
AP	    Adjective Phrase (группа прилагательного)	    очень красивый, гордый сыном.
A'	    Промежуточная проекция прилагательного
A	    Прилагательное	                                красивый, высокий.
AdvP	Adverb Phrase (наречная группа)	                совсем рядом, слишком быстро.
Adv'	Промежуточная проекция наречия
Adv	    Наречие	                                        хорошо, очень, вчера.
Det	    Детерминатив (местоимение-прилагательное)	    этот, мой, какой-то.
Q	    Квантор (часто спецификатор NP)	                все, многие, оба.
CP	    Complementizer Phrase (сентенциальная группа)	Придаточное предложение (что он ушёл).
C	    Комплементайзер (подчинительный союз)	        что, чтобы, когда.
