Длина	CYK (с)		Деревья (с)
  1	0.000011 ± 0.000008	0.000011 ± 0.000004
  2	0.000065 ± 0.000007	0.000076 ± 0.000011
  3	0.000116 ± 0.000019	0.000088 ± 0.000014
  4	0.000207 ± 0.000035	0.000191 ± 0.000030
  5	0.000332 ± 0.000052	0.000224 ± 0.000037
  6	0.000492 ± 0.000058	0.000340 ± 0.000088
  7	0.000744 ± 0.000040	0.000408 ± 0.000031
  8	0.000731 ± 0.000084	0.000698 ± 0.000086
  9	0.001159 ± 0.000036	0.001647 ± 0.001024
 10	0.001930 ± 0.000124	0.003475 ± 0.002053
 11	0.003861 ± 0.000096	0.016301 ± 0.007403
 12	0.005138 ± 0.000143	0.019817 ± 0.008497
 13	0.007249 ± 0.000230	0.171164 ± 0.025765
 14	0.010149 ± 0.000537	0.874324 ± 0.040386
 15	0.010473 ± 0.000388	0.767113 ± 0.054704
 Результаты (среднее ± std):
Длина                    CYK (с)              Дерево (с/шт)    Деревьев
    1  0.000010 ± 0.000003  0.000010 ± 0.000003           1
    2  0.000046 ± 0.000006  0.000014 ± 0.000002           3
    3  0.000097 ± 0.000022  0.000028 ± 0.000005           2
    4  0.000137 ± 0.000012  0.000027 ± 0.000003           4
    5  0.000410 ± 0.000022  0.000017 ± 0.000002          16
    6  0.000361 ± 0.000024  0.000020 ± 0.000002           8
    7  0.000629 ± 0.000033  0.000006 ± 0.000009          96
    8  0.000604 ± 0.000037  0.000011 ± 0.000001          44
    9  0.001025 ± 0.000052  0.000004 ± 0.000004         268
   10  0.001388 ± 0.000054  0.000004 ± 0.000003        1436
   11  0.003110 ± 0.000385  0.000007 ± 0.000005         362
   12  0.003407 ± 0.000179  0.000006 ± 0.000007         480
   13  0.004371 ± 0.000218  0.000002 ± 0.000001       11032
   14  0.004424 ± 0.000107  0.000004 ± 0.000003        1600
   15  0.006140 ± 0.000121  0.000002 ± 0.000001        8748
   16  0.006976 ± 0.000158  0.000004 ± 0.000002        3362
   17  0.007561 ± 0.000229  0.000002 ± 0.000001       13374
   18  0.013387 ± 0.000562  0.000003 ± 0.000000      937755
   19  0.009518 ± 0.000554  0.000003 ± 0.000000      157544
   20  0.017879 ± 0.000543  0.000003 ± 0.000000     2776928	
